User ID,Predicts
AN81JUYW2SL24,"B01GOZ61O8,B017GZJFV6,B004SGZ610,B001EGP680,B0001UWRCI,B00F9JGPTW,B002SQ6K1M,B0058YKIA0,B009G532FA,B00CLIC7E6,"
A1VS1LL905P5L5,"B004JKNYL4,B01B3QIEPC,B00IBDCYWK,B00C1RWL16,B000LD3J3Q,B000ULGO7M,B00BD3R1PU,B0060OUV5Y,B00172PC3A,B00QPNKVGY,"
A1FMWLZ9YY91XI,"B01CP39M4O,B00ZY65RUI,B01A0NT3D6,B0013U0EYI,B0015ZC1AQ,B000142FVW,B019FYF466,B00203MP9E,B0015ZAOLY,B0060OUV5Y,"
A37APF2XOO3B5Z,"B003BT6HNQ,B009S7H0UE,B00G6H88FK,B00H2VO6P0,B0015ZC13I,B017GZJFV6,B00R5DS94O,B00M0V39VE,B00B95PWYE,B00N0YMMMC,"
A2ZFS1ETNMDUX1,"B0161ZC5GY,B0073FET84,B000Z5YFY2,B013WZDAFQ,B01B4OIJ62,B00PX78KPM,B00ZY9MZZU,B007PCB5OQ,B0036G153G,B002D48QUC,"
A30ODR6WBE61UB,"B00203MP9E,B001MF3FMW,B01FTDAHVO,B001LITXVW,B006RBR7NO,B00F6XZNGM,B000EMDK2Y,B0001UWRCI,B00J9PYEYU,B000KQ7X4K,"
A2G04D4QZAXL15,"B00B95PWFS,B008MAPGEK,B001FNPJ5C,B001Q58FAK,B000IOAA3K,B000CRQHNU,B00J4F3YVY,B01CP39FL4,B01B4OIJ62,B00PX78KPM,"
A24OG61UCZF55,"B00D3M0V4C,B00IBDCYWK,B004IZA3YG,B001MF3FMW,B00UI3OLZE,B001JHEY14,B006HI60EY,B00PSFLL3M,B00CYHM7NU,B000O7NP38,"
A2OQYSTYR8SSVQ,"B00ZY65RUI,B003QXZWYW,B008VKEA9I,B00XNTNH6Y,B01CP39HMG,B00FW6O5FI,B01AZR97RE,B0025YVBG6,B007PCB5OQ,B001GPUHZQ,"
A3N4CUW4UYC9I3,"B00203MP9E,B001DTZK0C,B000IEKTZ4,B001LITXVW,B0012XM8MC,B00KSS3MJ0,B00J9PYEYU,B00HZ2BOEC,B00014GT8W,B000NG80GM,"
A2KWQ64TRHB3YH,"B00B27040G,B00B4F0LZ4,B003QXZWYW,B00CYHM3Y8,B001G60E3K,B001PLXLU4,B0052H2JXW,B001GAOV9Y,B000TUNMW4,B00WIJP48Y,"
A1LUK8APLC16WK,"B007PCB5OQ,B00PSFLL3M,B01B4OIJ6M,B001O1K3I8,B00JRW7QCC,B00ENIJNU8,B00DX7QL2S,B0012RWK5I,B000Z5YFX8,B00ZY65RUI,"
A1I477ADGMLVJM,"B0161ZC5GY,B0073FET84,B000Z5YFY2,B01B4OIJ62,B00PX78KPM,B00FYSZDQ4,B00ENIJNU8,B00ZY9MZZU,B007PCB5OQ,B000IOAA3K,"
A3RJGP3MFFG6PV,"B015WFNLR6,B008XWXZ9U,B0007WZ7YU,B00LNJSDWO,B003YC8NS2,B00176B8BG,B01HGSJPMW,B00G193SGW,B00V3LFC3U,B00F6XZNGM,"
ABQEKKRD6WZFA,"B00B27040G,B00B4F0LZ4,B00ZY65RUI,B01A0NT3D6,B0013U0EYI,B0015ZC1AQ,B000142FVW,B019FYF466,B00203MP9E,B0015ZAOLY,"
A39ANVSTOM4L6H,"B00ZY65RUI,B004JKNYL4,B008MAPGEK,B00U1E54CE,B00FW6O5FI,B00HX3KZFC,B01CP39FL4,B000ZOFUOC,B0025YVBG6,B01AZR97RE,"
