User ID,Predicts
A3FHSLWEMH7JD8,"B01CP39HMG,B00QA29O2C,B00T57UPNQ,B00Q9660L2,B01CP39M4O,B00XNTNH6Y,B00LNJSDWO,B01CP39FL4,B01AZR97RE,B004XMAVFA,"
A21VGNU5959O85,"B00B4F0LZ4,B0015ZC0ZM,B00PX78KPM,B00014GT8W,B00F9JGPTW,B00ZY65RUI,B00JZ2AURM,B003BT6HNQ,B00021D2Z2,B0010MGK6A,"
A1SG1DJ72ISCRU,"B003RJ165Y,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B000WN417I,B000Z5YFY2,B0073FET84,B001B271Q2,B001G9CJO4,"
A13VL2XSHUWRTH,"B003RJ165Y,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B000WN417I,B000Z5YFY2,B0073FET84,B001B271Q2,B001G9CJO4,"
AN2CU1YP12J4U,"B01DOZ5AA2,B00O9E4JBO,B001NZ1OWO,B000LD3J3Q,B00TKOK5KC,B01CP39M4O,B0058YKIA0,B01G2LKQTK,B002SQ6K1M,B004XMAVFA,"
A2IKX7H2PLHULP,"B01GOZ61O8,B00203MPJY,B00ZE3SSSO,B0010JREC2,B00B95PWFS,B00OMLC9HA,B01B4OIJ6M,B005CVGJFM,B01CP39HMG,B00JRW7QCC,"
AI2YYV9D3LS8P,"B00M0V3D7Y,B0001EKVCW,B001O1K3I8,B000NG80GM,B000142FVW,B01DSY86YG,B00G0IKDWG,B000TUNMW4,B001EGP680,B0015ZAOLY,"
A21B8AV7E3MPXE,"B00172I5IE,B00UI3OLZE,B001VJVP0S,B00AAV845M,B0001EKVGS,B00O56OWV8,B0161ZC5GY,B011JFR26Y,B00G193RVI,B0025YVBG6,"
A2PL0US7RN67G,"B00CYHM7NU,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,B000Z5YFY2,B0073FET84,B001B271Q2,"
A26SO3TOT2TLJE,"B00IMRC4SY,B00ZY9MZZU,B000MIH34Q,B004ILMUYG,B017GZJFV6,B00R5DS94O,B000ZOFUOC,B00HX3KZFC,B000GEJQKK,B00SZEQC46,"
AHQVBCXO2WM5C,"B0002ZW5UQ,B000EMDK2Y,B00G6H88FK,B0013U0EYI,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,"
A2AVMDTFW79N2N,"B000OOSHAM,B000068DWY,B0009OAGVA,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,B000Z5YFY2,"
A1QSKSNWAGXKBZ,"B00U1E54CE,B009G532FA,B000GEJQKK,B01GKH6FTQ,B0032Z24JU,B0015Z90NC,B0010MGNK8,B00940L86C,B000O5WCN4,B008H6N7TU,"
AT28RL25Q2OLK,"B01GOZ61O8,B00203MPJY,B00ZE3SSSO,B0010JREC2,B00B95PWFS,B00YHMQDC6,B00C1RWL16,B008XWXZ9U,B003YC8NS2,B005DUA5BG,"
A2R80172BBNSTA,"B00ZY65RUI,B00JZ2AURM,B00021D2Z2,B00F9JGPTW,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,"
A1KDM0N4UCEPHA,"B01CP39HMG,B01AZR97RE,B00QA29O2C,B00T57UPNQ,B00Q9660L2,B01CP39M4O,B004XMAVFA,B00XNTNH6Y,B00LNJSDWO,B01CP39FL4,"
A2QNMPNXW1QAQ5,"B001G9CJO4,B00JGWYOG4,B000R92XHM,B00B95PWYE,B01EBTBIMO,B004FH8NAS,B00D3M0V4C,B01CF4J540,B00O9E4JBO,B000CRQHNU,"
A13BQX5F2A0CQF,"B01B4OIJ6M,B005CVGJFM,B01GOZ61O8,B00ZE3SSSO,B00B95PWFS,B00203MPJY,B01CP39M4O,B0010JREC2,B001EGP680,B00DX7QL2S,"
A1V1EP514B5H7Y,"B001EGP680,B00DX7QL2S,B00JRW7QCC,B00QPNKVGY,B003BT6HMW,B00IMRC4SY,B000LD3J3Q,B01CP39M4O,B016KDZHCG,B01B4OIJ6M,"
A2CLF0H9PUZ96X,"B007P0MO2U,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,B000Z5YFY2,B0073FET84,B001B271Q2,"
APL83S3QHRHGT,"B001FYZAWS,B0017SWIU4,B00SNM5US4,B01B4OIJ62,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,"
A1QKFWY3GTBDRY,"B006HI60EY,B00HX3KZFC,B000GEJQKK,B00SZEQC46,B0015ZC13I,B00IMRC4SY,B0015Z90NC,B0010MGNK8,B00940L86C,B002D48QUC,"
A3E4EGAJSSL04J,"B0031NNE56,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,B000Z5YFY2,B0073FET84,B001B271Q2,"
APD7XINUVG5AL,"B015WFNLR6,B00C1RWL16,B008XWXZ9U,B003YC8NS2,B00YHMQDC6,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,"
A1DNXL8BIR5R8R,"B01CP39HMG,B01AZR97RE,B00QA29O2C,B00T57UPNQ,B00F6XZNLM,B00Q9660L2,B0015Z2XD6,B00XNTNH6Y,B00LNJSDWO,B008H6MXBI,"
AIK0G28AWIL17,"B001NZ1OWO,B00TKOK5KC,B002SQ6K1M,B0058YKIA0,B01G2LKQTK,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,"
A24OG61UCZF55,"B00172I5IE,B00UI3OLZE,B00172PC3A,B006HI60EY,B001VJVP0S,B0001EKVGS,B0015ZC13I,B00O56OWV8,B006RBR7NO,B00G193RVI,"
A1DYNEMS8PB7X4,"B01AZR97RE,B00ENIJNU8,B00KYCLTCM,B001NZF2Q8,B01B4OIJ62,B004IZA3YG,B001QTLNK0,B004RGM1L4,B00C8FVY3M,B00T07GQ3E,"
A39ANVSTOM4L6H,"B00Q9660L2,B01AZR97RE,B006IQVFTA,B00ENIJNU8,B00QA29O2C,B01B3QIEPC,B00T57UPNQ,B00JZ2AURM,B01CP39M4O,B001NZF2Q8,"
A3HG0DNFURFXR4,"B00CYHM7NU,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,B000Z5YFY2,B0073FET84,B001B271Q2,"
A1A25TP5D0L22V,"B01AZR97RE,B01CP39HMG,B00QA29O2C,B00T57UPNQ,B00J9PYEYU,B00Q9660L2,B00XNTNH6Y,B00203MP9E,B00LNJSDWO,B0161ZC5GY,"
A1SM0G50FP7XKJ,"B00HX3KZFC,B000GEJQKK,B00SZEQC46,B0015Z90NC,B0010MGNK8,B00940L86C,B00KSS3MJ0,B008H6N7TU,B00N0YMMMC,B001EGP680,"
A13MKSASQ6YWL7,"B01CP39HMG,B00QA29O2C,B00T57UPNQ,B00Q9660L2,B01CP39M4O,B00XNTNH6Y,B00LNJSDWO,B01CP39FL4,B01AZR97RE,B004XMAVFA,"
A1QPLOGZM1F7E8,"B00IMRC4SY,B017GZJFV6,B00WIJP48Y,B001GAOUZY,B00MFTOMLC,B01DSY5XZ6,B001G60E3K,B00ZY9MZZU,B000MIH34Q,B004ILMUYG,"
A30R8VFR16RE32,"B002HG7NX2,B00H2VO6P0,B003QXZWYW,B00CLIC7E6,B00II17BAA,B00B27040G,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,"
A1DH3QDZX8Z7GO,"B00IMRC4SY,B000LD3J3Q,B01CP39M4O,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,B000Z5YFY2,"
A17CBPANJ3G5T9,"B00021CDQ6,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,B000WN417I,B000Z5YFY2,B0073FET84,B001B271Q2,"
A2KS0FVY2CNJ8M,"B01GOZ61O8,B00203MPJY,B00ZE3SSSO,B0010JREC2,B00B95PWFS,B00OMLC9HA,B01B4OIJ6M,B005CVGJFM,B01CP39HMG,B00JRW7QCC,"
A2QWEEYO8QLIMI,"B01B3QIEPC,B00JZ2AURM,B004QA77JW,B00203MPJY,B00ZE3SSSO,B0010JREC2,B00B95PWFS,B01GOZ61O8,B01B4OIJ6M,B005CVGJFM,"
A1M5ZT35YX6TIN,"B006RBR7NO,B008H6MXBI,B001FWXISS,B016N2SDVG,B00H2VO6P0,B00II17BAA,B001EGP680,B00DX7QL2S,B00JRW7QCC,B016KDZHCG,"
A0916357J9P21ZUYUZO6,"B0006PJRRG,B0006PJRVM,B0015ZAOLY,B00172I5IE,B00UI3OLZE,B0010MGK6A,B001VJVP0S,B008MAPGEK,B00AAV845M,B00O56OWV8,"
AJID2XYGNFOOT,"B00NOZI1TU,B008VKEA9I,B01A982YRO,B0010JREC2,B00F6XZNLM,B0015Z2XD6,B00C8FVXQA,B00AAR9I60,B001GPUHZQ,B00MTUT834,"
A3A90CELVLOUP6,"B001FYZAWS,B00KYCLTCM,B001QTLNK0,B00SNM5US4,B001NZF2Q8,B01B4OIJ62,B004IZA3YG,B001EGP680,B0015ZAOLY,B01F8B7H24,"
A3SE4NU7AGO47Q,"B001LITXVW,B000CRQHNU,B017UMXLTM,B0013A6NFM,B00IZO0LLG,B001EGP680,B0015ZAOLY,B01F8B7H24,B00203SDQS,B003RJ165Y,"
A3VGHF7VNFBMCQ,"B00CNE2GOO,B00150NTJ8,B00MFTOMLC,B002K6AHQY,B004W55086,B0006PLPE4,B000AV4XW0,B000PHP8L4,B001FYXA6G,B000PHUKEE,"
