User ID,Predicts
A2077NII5H62R2,"B0092UF54A,B005AGO4LU,B009MA34NY,B010RRWKT4,B014IBJKNO,B001IKJOLW,B0058YEJ5K,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
ACZAPPQ95QM86,"B010RRWKT4,B0058YEJ5K,B0092UF54A,B014IBJKNO,B001IKJOLW,B005AGO4LU,B009MA34NY,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A3331XPWE0QR9O,"B010RRWKT4,B0092UF54A,B014IBJKNO,B005AGO4LU,B009MA34NY,B001IKJOLW,B0058YEJ5K,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A3VGHF7VNFBMCQ,"B0058YEJ5K,B0092UF54A,B001IKJOLW,B005AGO4LU,B009MA34NY,B010RRWKT4,B016XAJLVO,B014IBJKNO,B00I0VHS10,B000KPIHQ4,"
A1CKPC88NHMYGR,"B010RRWKT4,B0058YEJ5K,B0092UF54A,B014IBJKNO,B001IKJOLW,B005AGO4LU,B009MA34NY,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
AUE82PKEUMKZB,"B010RRWKT4,B0058YEJ5K,B0092UF54A,B014IBJKNO,B001IKJOLW,B005AGO4LU,B009MA34NY,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
ASECGGNQIT2RN,"B0058YEJ5K,B0092UF54A,B001IKJOLW,B005AGO4LU,B009MA34NY,B010RRWKT4,B014IBJKNO,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A21PLUMLST80EK,"B010RRWKT4,B0058YEJ5K,B0092UF54A,B014IBJKNO,B001IKJOLW,B005AGO4LU,B009MA34NY,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A3TLWN2BRF1QH5,"B0058YEJ5K,B0092UF54A,B001IKJOLW,B005AGO4LU,B009MA34NY,B010RRWKT4,B014IBJKNO,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A2IJJUO99LXIXG,"B010RRWKT4,B0058YEJ5K,B0092UF54A,B014IBJKNO,B001IKJOLW,B005AGO4LU,B009MA34NY,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A174EEWMHB3J8N,"B010RRWKT4,B0058YEJ5K,B0092UF54A,B014IBJKNO,B001IKJOLW,B005AGO4LU,B009MA34NY,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A16BGUHQH20CIP,"B0058YEJ5K,B0092UF54A,B001IKJOLW,B005AGO4LU,B009MA34NY,B010RRWKT4,B014IBJKNO,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A3P9DECTULU1B3,"B010RRWKT4,B0058YEJ5K,B0092UF54A,B014IBJKNO,B001IKJOLW,B005AGO4LU,B009MA34NY,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A39LISAY8SNHM,"B0058YEJ5K,B0092UF54A,B001IKJOLW,B005AGO4LU,B009MA34NY,B010RRWKT4,B014IBJKNO,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
A1S4O68F0UG4GA,"B010RRWKT4,B0058YEJ5K,B0092UF54A,B014IBJKNO,B001IKJOLW,B005AGO4LU,B009MA34NY,B00I0VHS10,B000KPIHQ4,B000V0IBDM,"
