,Unnamed: 0,overall,reviewTime,reviewerID,asin,reviewerName,reviewText,unixReviewTime,vote,title,main_cat,price,Date,stockReturn
0,556,5,"01 5, 2018",A2HOI48JK8838M,B00004U9V2,DB,This handcream has a beautiful fragrance. It doesnt stay on or protect your hands through washing.  This size is quite small.,1515110400,,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ,Luxury Beauty,$30.00,2018/01/05,0.0016623440799480996
1,558,5,"02 13, 2018",A2AVMDTFW79N2N,B000068DWY,Michael R,"Best price around, beats the mall.",1518480000,,"Calvin Klein ck one Eau de Toilette, 3.4 fl. oz.",Luxury Beauty,$64.00,2018/02/13,0.013402458482258168
2,560,4,"01 9, 2018",A2KJIX9GXBCVWH,B000068DWY,Rohini Atresh,One of my favorite perfumes and the fact that it is unisex is awesome. I'm gifting this for my nephew.,1515456000,,"Calvin Klein ck one Eau de Toilette, 3.4 fl. oz.",Luxury Beauty,$64.00,2018/01/09,-0.0011122269759360366
3,562,5,"04 11, 2018",AJ9VB45YRX8C9,B000142FVW,Amazon Customer,Love this color and brand,1523404800,,"OPI Nail Lacquer, Not So Bora-Bora-ing Pink, 0.5 Fl Oz",Luxury Beauty,$8.40,2018/04/11,0.008250750130306374
4,564,5,"04 3, 2018",A39ECS1S0CJ0X9,B000142FVW,Amy Z.,Was bought for a gift.  Recipient was thrilled.,1522713600,,"OPI Nail Lacquer, Not So Bora-Bora-ing Pink, 0.5 Fl Oz",Luxury Beauty,$8.40,2018/04/03,0.011566482650942907
5,566,5,"03 18, 2018",AI2YYV9D3LS8P,B000142FVW,breezy deaton,looks great,1521331200,,"OPI Nail Lacquer, Not So Bora-Bora-ing Pink, 0.5 Fl Oz",Luxury Beauty,$8.40,2018/03/18,-0.014204195427326925
6,568,5,"03 10, 2018",A1O3UXMAN62I6V,B000142FVW,Liz,"Great color! Goes on in one coat, dries quickly, easy application brush.",1520640000,,"OPI Nail Lacquer, Not So Bora-Bora-ing Pink, 0.5 Fl Oz",Luxury Beauty,$8.40,2018/03/10,-0.0012739848320225554
7,570,5,"03 5, 2018",A2BHOZILR7SY9,B000142FVW,MustangMary,This is the neutral I was searching for this winter. Tickle My France-y is a browned pink that works good with my skin tone and everything I wear. Professional but feminine. I use Poshe as my top coat and always get at least 7 days on a manicure.,1520208000,,"OPI Nail Lacquer, Not So Bora-Bora-ing Pink, 0.5 Fl Oz",Luxury Beauty,$8.40,2018/03/05,0.002638858686958538
8,572,4,"03 4, 2018",A2WCQTORZ1G1NG,B000142FVW,Rosalie Soronen,Very bright color. Will be a great color for Easter!,1520121600,,"OPI Nail Lacquer, Not So Bora-Bora-ing Pink, 0.5 Fl Oz",Luxury Beauty,$8.40,2018/03/04,0.01103202638179288
9,574,1,"03 4, 2018",A3VXLOGI23ZHHX,B000142FVW,Nicole M,I would give this zero stars. Formula is very watery. Something is not right with it. I will be returning. Very disappointed for an OPI product.,1520121600,,"OPI Nail Lacquer, Not So Bora-Bora-ing Pink, 0.5 Fl Oz",Luxury Beauty,$8.40,2018/03/04,0.01103202638179288
