overall,reviewerID,asin,Predict
1,A36SXS4ME0K854,B000EM9CU8,1.0
4,A25QBCHO0KFT0P,B000V3ME6Y,4.0
5,A3TMBYDFP1B9DM,B001GPUHZQ,0.0
4,A1ZKGSDVP057L9,B00B95PWFS,3.985201190279292
5,A7UPJYPAH73NC,B002SQ6K1M,0.0
5,A25QBCHO0KFT0P,B0058YKIA0,5.0
4,A2ESXEVEQB37I3,B017GZJFV6,4.0
4,A1UINGIK3UG77D,B002SQ6K1M,0.0
4,A24U6WGBZ4P74W,B00B95PWFS,3.985201190279292
4,A35Q0RBM3YNQNF,B01B4OIJ62,3.7952846181057174
4,A1NQK5MH9GTJ6S,B00B95PWFS,3.985201190279292
5,A1EMN4T3ROJDOO,B00B95PWFS,4.981501487849115
5,A6QG9LM5WL0AQ,B002SQ6K1M,0.0
4,A1NEIH01B5X6QL,B0010JREC2,3.90270173273373
4,A33PVCHCQ2BTN0,B001LFCHI6,0.0
3,A3VGAP2KLCBNBB,B0010JREC2,2.927026299550297
3,A3JV4PJZD5O4NJ,B00B95PWFS,2.9889008927094682
5,A1BK60GZ4QME6I,B01B4OIJ62,4.744105772632146
4,A3PD8KD87AXNLD,B004SGZ610,4.0
3,AK3402G7FO7AY,B0058YKIA0,2.9999999999999996
3,A1XDQFM10Q1SMK,B00172O9NO,0.0
2,A1DW36J0ZTN8QY,B017GZJFV6,2.0
3,A6VPK7X53QNAQ,B00B95PWFS,2.9889008927094682
5,A2G04D4QZAXL15,B00B95PWFS,4.981501487849115
3,AR2CNXO5LU4JP,B00B95PWFS,2.9889008927094682
1,A100WO06OQR8BQ,B00PSFLL3M,0.85121401839172
1,A1E0L2V60U8H0G,B00172O9NO,0.0
2,A11B61QBGHLQDN,B00PSFLL3M,1.70242803678344
5,A47Q26DA5037K,B000V3ME6Y,0.0
4,A33230MIA3W7G4,B00B95PWFS,3.985201190279292
4,AT53ZTTO707MB,B00MTUT834,0.0
5,A96JD9312DHWC,B00B95PWFS,4.981501487849115
2,A2OQYSTYR8SSVQ,B00B95PWFS,1.992600595139646
1,A265IEMG2K5R4W,B000V3ME6Y,0.0
4,A3GFK7F5IUF60X,B00B95PWFS,3.985201190279292
4,A3M3W5GV0HIQK4,B00B95PWFS,3.985201190279292
5,A2QWEEYO8QLIMI,B00B95PWFS,4.981501487849115
1,A1E0L2V60U8H0G,B000PHZ7HO,0.0
5,A1M1Y5UGONAW06,B001EGP680,4.832810275615059
1,A1E0L2V60U8H0G,B0015ZC1AQ,0.0
5,A3S5LMVBT8ZGWY,B01452YZOA,5.0
5,AO2AQRPPSTABB,B00MTUT834,0.0
5,A1SKQULOV77NT2,B01GDUM666,5.0
5,ACJ9N7ED37HXS,B00B95PWFS,4.981501487849115
5,A2ZGPAIV64KOYU,B01DSY86YG,5.173259225996356
5,A1BDARA133DP91,B00B95PWFS,4.981501487849115
5,A21I717LTVC1Y,B000Z5YFX8,5.000000000000001
4,AT28RL25Q2OLK,B00B95PWFS,3.985201190279292
5,A15T9G38F589KM,B001GPUHZQ,0.0
4,ACJ9N7ED37HXS,B01DSY86YG,4.138607380797084
5,A1SKQULOV77NT2,B003BT6HNQ,5.0
2,A305XM71TF83CY,B000J10II4,2.0
5,A3C2JQC6R2K52C,B00ZY65RUI,4.982929617817678
1,A305XM71TF83CY,B016KDZHCG,0.8279456726901718
4,A2GPJR489OIH42,B017GZJFV6,4.0
5,A2NICGGIGIFU22,B00MTUT834,5.0
1,A1E0L2V60U8H0G,B004IZA3YG,1.0
4,A2Q8GFSEUSGJ51,B000TUNMW4,4.0
5,A3NHUQ33CFH3VM,B0025YVBG6,4.999147046568438
5,A379IB3EYAEL5,B0058YKIA0,5.0
4,A1A25TP5D0L22V,B000V3ME6Y,3.0
5,A7EK88GF8N40F,B00B95PWFS,4.981501487849115
5,A17CBPANJ3G5T9,B00021CDQ6,0.0
5,A2CA0CFUZS89OG,B00203SDQS,0.0
4,A194K60CWZ371J,B008XWXZ9U,4.0
3,A1IA0O3OYQO9LV,B001EGP680,2.8996861653690353
3,A3G5MOHY1U635N,B00B95PWFS,2.9889008927094682
5,AIWSX8DYYGBJY,B00IMRC4SY,5.0
2,A33PVCHCQ2BTN0,B00PSFLL3M,1.70242803678344
5,A1JZFGZEZVWQPY,B01B4OIJ62,4.744105772632146
