overall,reviewerID,asin,Predict
1,A36SXS4ME0K854,B000EM9CU8,1.0
4,A25QBCHO0KFT0P,B000V3ME6Y,3.972888740853749
5,A3TMBYDFP1B9DM,B001GPUHZQ,5.000000000000002
4,A1ZKGSDVP057L9,B00B95PWFS,0.0
5,A7UPJYPAH73NC,B002SQ6K1M,0.0
5,A25QBCHO0KFT0P,B0058YKIA0,5.0
4,A2ESXEVEQB37I3,B017GZJFV6,0.0
4,A1UINGIK3UG77D,B002SQ6K1M,0.0
4,A24U6WGBZ4P74W,B00B95PWFS,0.0
4,A35Q0RBM3YNQNF,B01B4OIJ62,0.0
4,A1NQK5MH9GTJ6S,B00B95PWFS,0.0
5,A1EMN4T3ROJDOO,B00B95PWFS,0.0
5,A6QG9LM5WL0AQ,B002SQ6K1M,0.0
4,A1NEIH01B5X6QL,B0010JREC2,4.0
4,A33PVCHCQ2BTN0,B001LFCHI6,4.0
3,A3VGAP2KLCBNBB,B0010JREC2,3.0
3,A3JV4PJZD5O4NJ,B00B95PWFS,0.0
5,A1BK60GZ4QME6I,B01B4OIJ62,0.0
4,A3PD8KD87AXNLD,B004SGZ610,1.6222194306049742
3,AK3402G7FO7AY,B0058YKIA0,2.954136253357587
3,A1XDQFM10Q1SMK,B00172O9NO,2.9986964210912443
2,A1DW36J0ZTN8QY,B017GZJFV6,0.0
3,A6VPK7X53QNAQ,B00B95PWFS,0.0
5,A2G04D4QZAXL15,B00B95PWFS,0.0
3,AR2CNXO5LU4JP,B00B95PWFS,0.0
1,A100WO06OQR8BQ,B00PSFLL3M,0.9910768572480569
1,A1E0L2V60U8H0G,B00172O9NO,0.9995654736970815
2,A11B61QBGHLQDN,B00PSFLL3M,1.9821537144961139
5,A47Q26DA5037K,B000V3ME6Y,4.966110926067187
4,A33230MIA3W7G4,B00B95PWFS,0.0
4,AT53ZTTO707MB,B00MTUT834,4.0
5,A96JD9312DHWC,B00B95PWFS,0.0
2,A2OQYSTYR8SSVQ,B00B95PWFS,0.0
1,A265IEMG2K5R4W,B000V3ME6Y,0.9932221852134373
4,A3GFK7F5IUF60X,B00B95PWFS,0.0
4,A3M3W5GV0HIQK4,B00B95PWFS,0.0
