	overall	reviewTime	reviewerID	asin	reviewerName	reviewText	unixReviewTime	vote	title	also_buy	rank	main_cat	price
0	5	"01 27, 2018"	A1XSPKZ8HHSBX2	073530498X	Problematic1963	I made a photo album for a senior friend who was moving and I really liked the old camera picture style on this small album. great buy	1517011200		Vintage Camera Photo Album	"['1441310533', '1935414763', '1441317422', 'B00LJWNO6K', '1452135215', '144131055X', '0735340218', 'B00LJWNO7Y', '1441310541', 'B0711K96HM', 'B000B7C3DO', 'B075M81L7N', 'B0775RV4MS', 'B006RD6BES', 'B01N1WYQYT', 'B01B1Z8YXM', 'B074FVB5L8', 'B01M1P0WY8', 'B079VG63JK', 'B07D5YXXJF', '1723755966', '1601062257', 'B001CE5E4K', 'B07H3NKLBP', 'B01G41KM3I', 'B016UWWS2O', 'B00DURIQOC', 'B006TOCEZ0', 'B00LJWNOAG', 'B00GX3ZMAQ', 'B00JL4PXJE', 'B00Z7RUUQK']"	"3,298 in Books ("	Books	$9.99 
1	4	"01 21, 2018"	A20QGK86IV4HA9	073530498X	Ashley	Pretty nice. Just wish the spine was a bit stronger. I doubt this will stand the test of time.	1516492800		Vintage Camera Photo Album	"['1441310533', '1935414763', '1441317422', 'B00LJWNO6K', '1452135215', '144131055X', '0735340218', 'B00LJWNO7Y', '1441310541', 'B0711K96HM', 'B000B7C3DO', 'B075M81L7N', 'B0775RV4MS', 'B006RD6BES', 'B01N1WYQYT', 'B01B1Z8YXM', 'B074FVB5L8', 'B01M1P0WY8', 'B079VG63JK', 'B07D5YXXJF', '1723755966', '1601062257', 'B001CE5E4K', 'B07H3NKLBP', 'B01G41KM3I', 'B016UWWS2O', 'B00DURIQOC', 'B006TOCEZ0', 'B00LJWNOAG', 'B00GX3ZMAQ', 'B00JL4PXJE', 'B00Z7RUUQK']"	"3,298 in Books ("	Books	$9.99 
2	3	"01 20, 2018"	A17X8ZFIPCLRU0	073530498X	Ali	Smaller than expected. Flimsy.	1516406400		Vintage Camera Photo Album	"['1441310533', '1935414763', '1441317422', 'B00LJWNO6K', '1452135215', '144131055X', '0735340218', 'B00LJWNO7Y', '1441310541', 'B0711K96HM', 'B000B7C3DO', 'B075M81L7N', 'B0775RV4MS', 'B006RD6BES', 'B01N1WYQYT', 'B01B1Z8YXM', 'B074FVB5L8', 'B01M1P0WY8', 'B079VG63JK', 'B07D5YXXJF', '1723755966', '1601062257', 'B001CE5E4K', 'B07H3NKLBP', 'B01G41KM3I', 'B016UWWS2O', 'B00DURIQOC', 'B006TOCEZ0', 'B00LJWNOAG', 'B00GX3ZMAQ', 'B00JL4PXJE', 'B00Z7RUUQK']"	"3,298 in Books ("	Books	$9.99 
3	5	"01 3, 2018"	AZ81T6PP6907U	073530498X	L. Terri Schmidt	"Bought this as a stocking stuffer for my husband. He loved it! He collects old cameras, so this was perfect."	1514937600		Vintage Camera Photo Album	"['1441310533', '1935414763', '1441317422', 'B00LJWNO6K', '1452135215', '144131055X', '0735340218', 'B00LJWNO7Y', '1441310541', 'B0711K96HM', 'B000B7C3DO', 'B075M81L7N', 'B0775RV4MS', 'B006RD6BES', 'B01N1WYQYT', 'B01B1Z8YXM', 'B074FVB5L8', 'B01M1P0WY8', 'B079VG63JK', 'B07D5YXXJF', '1723755966', '1601062257', 'B001CE5E4K', 'B07H3NKLBP', 'B01G41KM3I', 'B016UWWS2O', 'B00DURIQOC', 'B006TOCEZ0', 'B00LJWNOAG', 'B00GX3ZMAQ', 'B00JL4PXJE', 'B00Z7RUUQK']"	"3,298 in Books ("	Books	$9.99 
4	5	"04 6, 2018"	A2ZCK9686DTWU0	106171327X	7 Bears	Worked after formatting.	1522972800		"Sandisk SDSDQUA-064G-A11 Professional Ultra 64GB MicroSDXC card is custom formatted for high speed, lossless recording! Includes Standard SD Adapter. (UHS-1 Class 10 Certified 30MB/sec) for GoPro HERO4 Black"	[]	"['>#3,722 in Cell Phones &amp; Accessories (See top 100)', '>#42 in Cell Phones &amp; Accessories &gt; Cell Phone Accessories &gt; Micro SD Cards', '>#3,717 in Electronics &gt; Cell Phones &amp; Accessories']"	Computers	$12.99 
5	5	"04 1, 2018"	A3G5NNV6T6JA8J	106171327X	Tazman32	"Great addition to our new Galaxy S9's which, by the way, do not come with any SD media.  Was able to transfer data from my old phone's SD card quickly and easily."	1522540800		"Sandisk SDSDQUA-064G-A11 Professional Ultra 64GB MicroSDXC card is custom formatted for high speed, lossless recording! Includes Standard SD Adapter. (UHS-1 Class 10 Certified 30MB/sec) for GoPro HERO4 Black"	[]	"['>#3,722 in Cell Phones &amp; Accessories (See top 100)', '>#42 in Cell Phones &amp; Accessories &gt; Cell Phone Accessories &gt; Micro SD Cards', '>#3,717 in Electronics &gt; Cell Phones &amp; Accessories']"	Computers	$12.99 
6	5	"03 30, 2018"	AFML7PYI3LERI	106171327X	Brian D. Carrico	Perfect !	1522368000		"Sandisk SDSDQUA-064G-A11 Professional Ultra 64GB MicroSDXC card is custom formatted for high speed, lossless recording! Includes Standard SD Adapter. (UHS-1 Class 10 Certified 30MB/sec) for GoPro HERO4 Black"	[]	"['>#3,722 in Cell Phones &amp; Accessories (See top 100)', '>#42 in Cell Phones &amp; Accessories &gt; Cell Phone Accessories &gt; Micro SD Cards', '>#3,717 in Electronics &gt; Cell Phones &amp; Accessories']"	Computers	$12.99 
7	4	"03 30, 2018"	A1G0HYMR02WM2W	106171327X	Cici Ciconia	As described.	1522368000		"Sandisk SDSDQUA-064G-A11 Professional Ultra 64GB MicroSDXC card is custom formatted for high speed, lossless recording! Includes Standard SD Adapter. (UHS-1 Class 10 Certified 30MB/sec) for GoPro HERO4 Black"	[]	"['>#3,722 in Cell Phones &amp; Accessories (See top 100)', '>#42 in Cell Phones &amp; Accessories &gt; Cell Phone Accessories &gt; Micro SD Cards', '>#3,717 in Electronics &gt; Cell Phones &amp; Accessories']"	Computers	$12.99 
8	5	"03 27, 2018"	A1T8B3I8KRS3W0	106171327X	AJ	Great little card made my device better	1522108800		"Sandisk SDSDQUA-064G-A11 Professional Ultra 64GB MicroSDXC card is custom formatted for high speed, lossless recording! Includes Standard SD Adapter. (UHS-1 Class 10 Certified 30MB/sec) for GoPro HERO4 Black"	[]	"['>#3,722 in Cell Phones &amp; Accessories (See top 100)', '>#42 in Cell Phones &amp; Accessories &gt; Cell Phone Accessories &gt; Micro SD Cards', '>#3,717 in Electronics &gt; Cell Phones &amp; Accessories']"	Computers	$12.99 
9	5	"03 26, 2018"	A3J18CDIQTMSY9	106171327X	Amazon Customer	Item as described.  Fast shipping.  A++	1522022400		"Sandisk SDSDQUA-064G-A11 Professional Ultra 64GB MicroSDXC card is custom formatted for high speed, lossless recording! Includes Standard SD Adapter. (UHS-1 Class 10 Certified 30MB/sec) for GoPro HERO4 Black"	[]	"['>#3,722 in Cell Phones &amp; Accessories (See top 100)', '>#42 in Cell Phones &amp; Accessories &gt; Cell Phone Accessories &gt; Micro SD Cards', '>#3,717 in Electronics &gt; Cell Phones &amp; Accessories']"	Computers	$12.99 
