,overall,reviewTime,reviewerID,asin,reviewerName,reviewText,unixReviewTime,vote,title,also_buy,rank,main_cat,price
0,5,"01 2, 2018",A1UVZHFDTI4FPK,B00066G516,S. Ortega,Just what I needed for a party,1514851200,,Leg Avenue Women's Lace Ruffle Anklet Socks,"['B07JKZR4BP', 'B01BLUW5HS', 'B01MQJLNLC', 'B016WXQACK', 'B01EXPYRCO', 'B074K1VNDZ', 'B001E2R2M2', 'B00JMBD4BU', 'B00WG0HCMQ', 'B00WFAGA7A', 'B00MEW27S0', 'B00BZ5PE64', 'B003QHZDW4', 'B07BJ8YMWT', 'B01LY49AUM', 'B074M5N6BD', 'B072WQ4K3R', 'B07CPMNZG6', 'B00ZENSQOU', 'B075V24LD2', 'B003O86A0E', 'B07BHR87S1', 'B00IYP472K', 'B074JZ7LB7', 'B00MDU0XCA', 'B00YO4OZL8', 'B01IUJH49C', 'B07KYR8D77', 'B01N241SLZ', 'B07BVSTJWC', 'B076F25HQ5', 'B015EPQ6MQ', 'B07KP2LC8F', 'B07B7KW111', 'B07G39XX25', 'B071YYHKNG', 'B01GRQEMEA', 'B016X3TGSY', 'B003VR4XH0', 'B016KFRVBY', 'B00NVU2XLU', 'B0746CLDTN', 'B077ML5MX4', 'B012UU6E5M', 'B07GJSNFK4', 'B076H3HX67', 'B07C9SWCVZ', 'B071D1NK78', 'B00LJUMYPE', 'B005NWENGC', 'B01GIF3X9K', 'B017EZ1TNU', 'B00Q7UVKBK', 'B075MD6KNY', 'B075FQKW7X', 'B07J4MHZX2', 'B078PZH657', 'B07BRDLWFR', 'B07417D464', 'B005574K22', 'B016HWCCR8', 'B07BVYVDYD', 'B01EWL8504', 'B0734N1HY8', 'B07D5SWFKR', 'B07JN873MX', 'B07GSR42F8', 'B000GIQZ7I', 'B072MG45CL', 'B07C2SBTLX', 'B000GIQZ82', 'B07GQ4QMV5', 'B07BSZSR2Y', 'B071ZVRQX1', 'B06XP2PSRC', 'B01LEWO5TO', 'B00PNVRXRY', 'B07BND8LKF', 'B017KBLS02', 'B01H4M39VS', 'B01CNMWEF6', 'B07CWNG9RJ', 'B01B8L02DO', 'B017R79W6G', 'B076X46RNB', 'B0772R1LRL', 'B07C39FX8W', 'B01ELKZ5IG', 'B0772TG6TX', 'B01KT1TOHY', 'B01D410A2O', 'B07BTSWQN2', 'B00322XV8Q', 'B075G23H1K', 'B07HJ6L277']","32,865 in Clothing, Shoes & Jewelry (","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$7.99 
1,4,"03 13, 2018",A1Q3Y7MKO2XXZU,B0008F6WMM,Brian,Son loves it.  Decent quality.,1520899200,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
2,5,"02 27, 2018",A3R4FG7G16C06Q,B0008F6WMM,SimplyAtomic,My son wanted to dress like August Pullman from Wonder for literary day and this is perfect!,1519689600,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
3,5,"02 22, 2018",A18NLS963X0D9P,B0008F6WMM,Amazon Customer,awesome.,1519257600,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
4,5,"02 11, 2018",A3MP0WN7KHTGHH,B0008F6WMM,Someothername,"My daughter loves this item. My high score is based on her feedback. She thinks it's great!

From my part, it's pretty cheaply made and I don't know how long it will hold up, and the sound is pretty poor, but she is happy, so I'm fine with it.",1518307200,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
5,5,"01 19, 2018",A3DLP6KODOORFP,B0008F6WMM,sherry jenkins,My son has Autism and when he seen the movie Wonder he wanted a helmet Just Like the little boy :) So we ordered this 1..HE LOVES LOVES it!!!!!! THANK U ( NOT Cheap Made),1516320000,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
6,5,"01 7, 2018",ATX325JZIP8MH,B0008F6WMM,Carl M. Ladd,Bought this for my godson - he absolutely loves it!!,1515283200,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
7,5,"01 6, 2018",A1VOE233KOFJLC,B0008F6WMM,Paul,"This helmet was a HIT!!!  The 'countdown' audio is fantastic and the helmet is worth the money.  Please be aware the helmet is large--my 4yr old used it for his astronaut costume last Halloween, but had to keep is hand on one side of the helmet to prevent it from moving around.  Me, his mother, can wear the helmet comfortably, so that gives you an idea of the size.  Nevertheless the helmet was key to making the costume ADORABLE, so I would buy it again!",1515196800,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
8,5,"01 4, 2018",A2DBM9JLWM819T,B0008F6WMM,Donna,This is a great toy! I am a kid and I love this thing! It is great to make movies with. I would recommend but make sure that your child should be at least 8 or 9,1515024000,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
9,5,"01 4, 2018",A26BYE1WHZHDSQ,B0008F6WMM,Erin Cowardin,8 year old son LOVES this helmet.  It was top xmas list gift.,1515024000,,Aeromax Jr. Astronaut Helmet with sounds,"['B002NU66DK', 'B01LY56ZVK', 'B01LWTMMGS', 'B07DK2XFXV', 'B07KL452KK', 'B00LJ7L2JQ', 'B07BJ8HQQ5', 'B00EC0R84K', 'B07BZCZ34R', 'B00ED4HMT6', 'B00CMT8D88', 'B01LQP5D7W', 'B00BB61Z1A', 'B00DF0FYRQ', 'B01C4U1YTE', 'B07D4DWHG5', 'B071Z86KKK', 'B07HB6M259', 'B007FZLS9U', 'B002AN1ZNG', 'B00O83C4PE', 'B0020B486O', 'B07JBRBDYW', 'B07BNY985B', 'B0042Z9UGY', 'B07CBL58SQ', 'B01777NN4I', 'B00OXTB2XI', 'B005B454D8', '0399555463', 'B00FS5LO3Y', 'B07H2BFHTP', 'B017IO371E', 'B07KGGV634', 'B00BQL2WNK', 'B00M0N2HWE', 'B00IA5LSH6', 'B06ZZGVSCL', 'B073H75XT3', 'B01LQP991I', 'B07GDW64JX', 'B00IP1473M', 'B07HLRSFB3', 'B00M0N28WI', 'B00VLV5SB8', 'B009M6G1YC', 'B0722GZYT3', '0448449072', 'B07D3NVK6T', 'B078PYXCYC', 'B01BVF8PPE', 'B07JB686SM', 'B00BB61Z2O', 'B01BLLUQJG', 'B0081YFJKI', 'B07BZ6C387', 'B01GOVSSL6', 'B07BLNNPD2', 'B075DF3PKF', 'B078JS1SDC', 'B018LRXCVW', '0679891153', '1465402411', 'B00LX7HSS6', 'B00LX7IBZU', 'B07F74FZ2N', 'B00ZJCEJSS', 'B075M35ZKZ', 'B000WK1N8Q', '1442458240', 'B072K6XLGX', 'B07HP4PNQ3', 'B01LQP6N4O', 'B007SQXC90', 'B071W77MBJ', 'B07FDLQPCW', 'B074DWGBKQ', 'B01MYGIY7K', 'B0711MPYJN', '1465438068', 'B00I5VS6QQ', 'B018MT62YS', 'B01M0K4OQ4']","['>#16,931 in Toys & Games (See Top 100 in Toys & Games)']","<img src=""https://images-na.ssl-images-amazon.com/images/G/01/nav2/images/gui/amazon-fashion-store-new._CB520838675_.png"" class=""nav-categ-image"" alt=""AMAZON FASHION""/>",$41.63 
